filename,width,height,class,xmin,ymin,xmax,ymax
Sepat-63_png.rf.d682ecfa29b6e3aa168753292671fbb9.jpg,466,742,sepat,0,299,337,493
Red-Devil-121_png.rf.d3958b8101893ba4545caea33731cb7a.jpg,720,1280,red_devil,165,34,533,862
Red-Devil-115_png.rf.d76674065b089ca86f33dbcd69f2da0b.jpg,1280,720,red_devil,109,81,917,606
3_mp4-0007_jpg.rf.d2a7e3e2e1f18a71bde3c4c0edc1e154.jpg,1280,720,mujahir,293,118,1003,525
Sepat-192_jpg.rf.df194dcbf084b9e1b8298335631083a2.jpg,1280,960,sepat,385,464,853,742
Red-Devil-155-_jpg.rf.d54cb542e9d1c0df6c65c73442c26fce.jpg,3060,4080,red_devil,8,1307,2789,2853
Red-Devil-54_png.rf.e0a43a99dcf6bf7b13ce2b3cffcb1858.jpg,1280,720,red_devil,199,316,1110,688
Red-Devil-158_jpg.rf.d9ac20de4b3e17c6bfe9ea6622c70dc2.jpg,3060,4080,red_devil,0,1555,2301,2612
Mujahir-37_jpg.rf.df53c36e07f5934346702b02fc572c1f.jpg,4624,3472,mujahir,330,743,3717,2244
Video-Sepat-2_mp4-0029_jpg.rf.e1a0f762703eb59d21d591ca5d0f0eca.jpg,478,850,sepat,168,446,301,484
Video-Sepat-2_mp4-0029_jpg.rf.e1a0f762703eb59d21d591ca5d0f0eca.jpg,478,850,sepat,92,403,189,626
Red-Devil-59_png.rf.d363a9c76342a5153ab80e91b673c820.jpg,1280,720,red_devil,224,336,958,615
6_mp4-0008_jpg.rf.d8022eab81d4df61007167900fe09420.jpg,1280,720,mujahir,218,193,880,545
Mujahir-168_jpg.rf.d92e83af5f9e38d22171cfde46fba54e.jpg,4624,3472,mujahir,925,1328,4135,2885
Red-Devil-157-_jpg.rf.db3bb269a0fd055039aacb638f90ea57.jpg,3060,4080,red_devil,51,1295,2382,2497
Sepat-196_jpg.rf.dbdb46f2e0178d3288ff2359873d79a2.jpg,960,1280,sepat,105,712,707,935
Red-Devil-21_png.rf.e23173ef72174c331a7eedd7bf7d419b.jpg,1280,720,red_devil,0,208,968,571
Mujahir-166_jpg.rf.d23720809730d3da90236f960d7df970.jpg,4624,3472,mujahir,1386,558,3140,3170
1_mp4-0000_jpg.rf.de8d1f4bec88abd3729404ee7e04f55e.jpg,1280,720,mujahir,568,145,838,718
Red-Devil-171-_jpg.rf.dc0ae4b7b49ccfdc602d163ddc1e1eec.jpg,3060,4080,red_devil,258,1523,3059,2422
Mujahir-138_jpg.rf.d87173d98c2f92dc6d3a8a739f40aa09.jpg,4624,3472,mujahir,767,1352,2946,2991
Red-Devil-26_png.rf.d711b9539d2c4a7e55feee906bebe03e.jpg,1280,720,red_devil,106,227,968,590
